movie_name,release_year,certificate,duration,genre,star,metascore,votes
The Unholy,2021,PG-13,99 min,"Drama, Horror, Mystery",5.0,36        ,"10,110"
Paper Lives,2021,TV-MA,96 min,Drama,6.7,nil,"9,845"
Who Killed Sara?,2021– ,TV-MA,nil,"Crime, Drama, Mystery",6.4,nil,"9,794"
Tribes of Europa,2021– ,TV-MA,nil,"Action, Adventure, Drama",6.8,nil,"9,644"
The United States vs. Billie Holiday,2021,R,126 min,"Biography, Drama, Music",6.3,52        ,"9,619"
Stuck Apart,2021,TV-MA,96 min,"Comedy, Drama",6.1,nil,"9,358"
 Loki,2021– ,TV-14,42 min,"Action, Adventure, Fantasy",7.9,nil,"9,324"
Harga,2021– ,not rated,nil,Drama,9.7,nil,"9,308"
Iste Bu Benim Masalim,2021,not rated,40 min,"Musical, Romance",1.5,nil,"9,222"
Halston,2021,TV-MA,240 min,"Biography, Drama",7.5,nil,"9,097"
Clarkson's Farm,2021– ,TV-PG,45 min,Documentary,9.3,nil,"9,081"
Voyagers,2021,PG-13,108 min,"Adventure, Sci-Fi, Thriller",5.4,44        ,"8,853"
The Vault,2021,R,118 min,"Action, Adventure, Thriller",6.4,50        ,"8,709"
Locked Down,I 2021,R,118 min,"Comedy, Crime, Romance",5.2,42        ,"8,387"
Barb and Star Go to Vista Del Mar,2021,PG-13,107 min,Comedy,6.4,64        ,"8,333"
Jagame Thandhiram,2021,TV-MA,158 min,"Action, Comedy, Crime",6.2,nil,"8,291"
Wish Dragon,2021,PG,98 min,"Animation, Adventure, Comedy",7.2,60        ,"8,072"
 The Walking Dead,2010–2022,TV-MA,50 min,"Drama, Horror, Thriller",9.3,nil,"7,959"
Finding 'Ohana,2021,PG,123 min,"Action, Adventure, Comedy",6.1,69        ,"7,850"
The Married Woman,2021– ,not rated,30 min,"Drama, Romance",9.4,nil,"7,538"
Mumbai Saga,2021,not rated,135 min,"Action, Crime",6.1,nil,"7,372"
The Girl on the Train,2021,TV-MA,120 min,"Crime, Drama, Mystery",4.4,nil,"7,349"
Ferry,2021,TV-MA,106 min,"Action, Crime, Drama",7.0,nil,"7,289"
The Equalizer,2021– ,TV-14,nil,"Action, Crime, Drama",4.8,nil,"7,189"
Pagglait,2021,TV-14,114 min,"Comedy, Drama",6.9,nil,"7,162"
" Love, Death & Robots",2019– ,TV-MA,18 min,"Animation, Short, Comedy",8.1,nil,"7,119"
 Invincible,2021– ,TV-MA,45 min,"Animation, Action, Adventure",9.7,nil,"7,054"
 Aspirants,2021– ,not rated,46 min,Drama,9.6,nil,"6,871"
Kaagaz,2021,not rated,109 min,"Biography, Comedy, Drama",7.5,nil,"6,823"
Time,2021– ,not rated,59 min,"Crime, Drama",8.5,nil,"6,794"
Sandeep Aur Pinky Faraar,2021,not rated,125 min,"Comedy, Crime, Drama",6.3,nil,"6,754"
Cosmic Sin,2021,R,88 min,"Action, Adventure, Sci-Fi",2.5,9        ,"6,747"
 Invincible,2021– ,TV-MA,48 min,"Animation, Action, Adventure",9.6,nil,"6,682"
Sentinelle,2021,TV-MA,80 min,"Action, Crime, Drama",4.7,nil,"6,623"
Vincenzo,2021– ,Not Rated,80 min,"Comedy, Crime, Romance",8.6,nil,"6,622"
" Love, Death & Robots",2019– ,TV-MA,12 min,"Animation, Short, Comedy",6.5,nil,"6,621"
Roohi,2021,not rated,134 min,"Comedy, Horror",4.3,nil,"6,488"
Debris,2021,TV-PG,nil,"Drama, Mystery, Sci-Fi",6.5,nil,"6,486"
Operation Varsity Blues,2021,R,99 min,"Documentary, Crime, Drama",7.0,70        ,"6,458"
Music,2021,PG-13,107 min,"Drama, Musical",3.1,23        ,"6,369"
" Love, Death & Robots",2019– ,TV-MA,18 min,"Animation, Short, Comedy",7.9,nil,"6,367"
Joji,2021,not rated,113 min,"Crime, Drama",7.9,nil,"6,347"
Bang Baang,2021– ,not rated,18 min,"Action, Thriller",6.9,nil,"6,311"
" Love, Death & Robots",2019– ,TV-MA,13 min,"Animation, Short, Comedy",6.1,nil,"6,275"
Clarice,2021– ,TV-14,60 min,"Crime, Drama, Mystery",6.4,nil,"6,234"
SAS: Red Notice,2021,R,124 min,"Action, Thriller",4.9,nil,"6,219"
Fatma,2021– ,TV-MA,40 min,"Crime, Drama, Thriller",7.5,nil,"6,211"
Sky Rojo,2021– ,TV-MA,31 min,"Action, Adventure, Crime",6.5,nil,"6,190"
Tell Me Your Secrets,I 2021– ,TV-14,nil,"Crime, Drama, Mystery",7.4,nil,"6,160"
Snabba Cash,2021– ,TV-MA,52 min,"Action, Crime, Drama",7.6,nil,"6,116"
 Invincible,2021– ,TV-MA,47 min,"Animation, Action, Adventure",9.0,nil,"6,104"
Walker,2021– ,TV-14,nil,"Action, Crime, Drama",5.9,nil,"6,090"
 The Walking Dead,2010–2022,TV-14,43 min,"Drama, Horror, Thriller",4.1,nil,"6,017"
Sunflower,2021– ,not rated,36 min,"Comedy, Crime",7.7,nil,"5,946"
Sherni,2021,not rated,131 min,Drama,7.0,nil,"5,920"
 Aspirants,2021– ,not rated,38 min,Drama,9.6,nil,"5,916"
 The New York Times Presents,2020– ,TV-MA,74 min,Documentary,6.9,nil,"5,899"
Jathi Ratnalu,2021,not rated,145 min,Comedy,7.6,nil,"5,865"
Allen v. Farrow,2021,TV-MA,256 min,"Documentary, Biography, Crime",6.4,nil,"5,854"
The Mosquito Coast,2021– ,TV-MA,nil,"Adventure, Drama, Thriller",7.0,nil,"5,835"
Billie Eilish: The World's a Little Blurry,2021,R,140 min,"Documentary, Biography, Music",7.8,70        ,"5,812"
 The Family Man,2019– ,TV-14,nil,"Action, Comedy, Drama",9.3,nil,"5,807"
The Pembrokeshire Murders,2021,TV-14,144 min,"Crime, Drama",7.1,nil,"5,702"
" Love, Death & Robots",2019– ,TV-MA,7 min,"Animation, Short, Comedy",7.4,nil,"5,693"
 Aspirants,2021– ,not rated,49 min,Drama,9.8,nil,"5,690"
Crisis,2021,R,118 min,"Drama, Thriller",6.1,40        ,"5,680"
